,question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
916,Solve a comprehensive problem involving the core principles of Tenses. - Perspective 931,English,Tenses,12.64,0.14,1310.0,183.0,17.0,Understand,Moderate
917,Solve a comprehensive problem involving the core principles of Calculus. - Perspective 884,Maths,Calculus,87.56,0.91,2935.0,2670.0,4.0,Remember,Hard
918,Evaluate the impact of Geometry on society today.,Maths,Geometry,35.49,0.35,2790.0,976.0,17.0,Evaluate,Medium
919,Critique a major study or paper regarding Light ray.,Physics,Light ray,17.99,0.21,917.0,192.0,5.0,Apply,Easy
920,Compare and contrast the primary theories of Cold War.,History,Cold War,70.22,0.73,423.0,308.0,9.0,Remember,Medium
921,What role does Speed of light play in the advancement of Physics technology?,Physics,Speed of light,35.2,0.4,2362.0,944.0,6.0,Apply,Easy
922,Predict the future trends of Financial Mathematics over the next decade. - Perspective 903,Mathematics,Financial Mathematics,67.87,0.66,2948.0,1945.0,2.0,Understand,Hard
923,Identify the three most critical components of Recursion. - Perspective 321,Computer Science,Recursion,29.99,0.31,1509.0,467.0,1.0,Apply,Medium
924,Critique a major study or paper regarding General Physics.,Science,General Physics,78.1,0.82,279.0,228.0,16.0,Evaluate,Medium
925,Predict the future trends of Number Systems over the next decade.,Maths,Number Systems,16.34,0.15,1243.0,186.0,2.0,Understand,Easy
926,Solve a comprehensive problem involving the core principles of Number Systems. - Perspective 988,Maths,Number Systems,17.83,0.2,1546.0,309.0,13.0,Evaluate,Moderate
927,Analyze the relationship between Agriculture and the wider Geography field.,Geography,Agriculture,63.81,0.59,2690.0,1587.0,8.0,Analyze,Medium
928,Critique a major study or paper regarding Cost-Benefit Analysis.,Economics,Cost-Benefit Analysis,58.01,0.6,432.0,259.0,16.0,Create,Easy
929,Compare and contrast the primary theories of Probability. - Perspective 429,Maths,Probability,41.51,0.46,1788.0,822.0,19.0,Apply,Easy
930,Summarize the key experimental findings related to Oceanography.,Geography,Oceanography,8.16,0.12,2010.0,241.0,7.0,Create,Hard
931,What is the significance of Income Inequality in modern Economics research?,Economics,Income Inequality,28.67,0.32,397.0,127.0,2.0,Evaluate,Easy
932,What role does Earth's layers play in the advancement of Geography technology?,Geography,Earth's layers,52.43,0.48,2145.0,1029.0,1.0,Apply,Moderate
933,Summarize the key experimental findings related to Ecosystems.,Biology,Ecosystems,60.19,0.59,2067.0,1219.0,8.0,Create,Easy
934,What are the most common misconceptions about Prepositions?,English,Prepositions,37.1,0.35,418.0,146.0,12.0,Remember,Moderate
935,Predict the future trends of Animal physiology over the next decade.,Biology,Animal physiology,94.53,0.97,1063.0,1031.0,20.0,Understand,Medium
936,What is the significance of Human Rights in modern Social Science research? - Perspective 209,Social Science,Human Rights,72.62,0.71,2890.0,2051.0,12.0,Analyze,Medium
937,What are the most common misconceptions about Algebra? - Perspective 995,Mathematics,Algebra,42.69,0.46,1058.0,486.0,17.0,Create,Moderate
938,Evaluate the impact of Synonyms and Antonyms on society today.,English,Synonyms and Antonyms,32.99,0.29,425.0,123.0,5.0,Apply,Medium
939,Compare and contrast the primary theories of Object-Oriented Programming.,Computer Science,Object-Oriented Programming,34.06,0.35,739.0,258.0,9.0,Apply,Hard
940,Describe a real-world application of Ancient Greece in industry or daily life. - Perspective 847,History,Ancient Greece,49.37,0.47,710.0,333.0,7.0,Analyze,Moderate
941,Discuss the ethical challenges associated with Environment. - Perspective 336,Science,Environment,11.95,0.15,2492.0,373.0,7.0,Apply,Moderate
942,Compare and contrast the primary theories of Articles.,English,Articles,62.29,0.61,1098.0,669.0,4.0,Analyze,Moderate
943,Evaluate the impact of Cultural Studies on society today. - Perspective 426,Social Science,Cultural Studies,86.78,0.85,2855.0,2426.0,1.0,Remember,Easy
944,Summarize the key experimental findings related to Machine Learning.,Computer Science,Machine Learning,18.23,0.14,92.0,12.0,20.0,Analyze,Moderate
945,Critique a major study or paper regarding Computational Thinking.,Computer Science,Computational Thinking,82.34,0.85,1514.0,1286.0,4.0,Understand,Easy
946,Predict the future trends of Energy Sources over the next decade. - Perspective 594,Science,Energy Sources,11.21,0.16,1372.0,219.0,13.0,Evaluate,Medium
947,Analyze the relationship between Silk Road and the wider History field.,History,Silk Road,95.63,0.92,2010.0,1849.0,16.0,Apply,Moderate
948,What are the most common misconceptions about Matrices?,Mathematics,Matrices,92.31,0.97,2706.0,2624.0,15.0,Analyze,Easy
949,Discuss the ethical challenges associated with Respiration.,Biology,Respiration,18.02,0.23,1156.0,265.0,20.0,Analyze,Medium
950,Critique a major study or paper regarding Immunology.,Biology,Immunology,43.44,0.39,911.0,355.0,10.0,Understand,Easy
951,Draft a detailed overview of the mathematical foundations of Number Systems.,Maths,Number Systems,66.4,0.63,2568.0,1617.0,16.0,Analyze,Medium
952,What role does Trigonometry play in the advancement of Maths technology?,Maths,Trigonometry,59.56,0.6,330.0,198.0,7.0,Understand,Hard
953,Explain the step-by-step mechanism of Social Change. - Perspective 775,Social Science,Social Change,88.04,0.87,760.0,661.0,7.0,Understand,Moderate
954,Solve a comprehensive problem involving the core principles of Complex analysis. - Perspective 226,Mathematics,Complex analysis,72.56,0.74,374.0,276.0,11.0,Understand,Hard
955,What are the most common misconceptions about Advanced Grammar? - Perspective 779,English,Advanced Grammar,54.31,0.54,2803.0,1513.0,19.0,Apply,Easy
956,Outline the historical development of Sociology concepts.,Social Science,Sociology,50.3,0.48,1316.0,631.0,19.0,Understand,Hard
957,Explain the step-by-step mechanism of Gene expression. - Perspective 677,Biology,Gene expression,76.49,0.72,515.0,370.0,17.0,Create,Medium
958,Discuss the ethical challenges associated with Industrial Revolution.,History,Industrial Revolution,77.14,0.74,1275.0,943.0,5.0,Understand,Hard
959,What role does Cosmology play in the advancement of Physics technology?,Physics,Cosmology,14.04,0.13,1480.0,192.0,2.0,Understand,Easy
960,Analyze the relationship between Magna Carta and the wider History field.,History,Magna Carta,16.68,0.21,1866.0,391.0,6.0,Analyze,Easy
961,Compare and contrast the primary theories of Database Normalization.,Computer Science,Database Normalization,20.47,0.18,2849.0,512.0,18.0,Analyze,Easy
962,Draft a detailed overview of the mathematical foundations of Dynamics.,Physics,Dynamics,76.88,0.81,1330.0,1077.0,10.0,Understand,Moderate
963,Summarize the key experimental findings related to Natural Vegetation. - Perspective 257,Geography,Natural Vegetation,35.1,0.4,891.0,356.0,12.0,Analyze,Hard
964,Compare and contrast the primary theories of Gender Equality.,Social Science,Gender Equality,68.42,0.73,2389.0,1743.0,7.0,Apply,Medium
965,Analyze the relationship between 3D Geometry and the wider Mathematics field.,Mathematics,3D Geometry,71.93,0.74,1656.0,1225.0,8.0,Analyze,Moderate
966,Outline the historical development of Mobile App Development concepts.,Computer Science,Mobile App Development,97.52,0.98,1865.0,1827.0,10.0,Remember,Moderate
967,Solve a comprehensive problem involving the core principles of Linear motion.,Physics,Linear motion,76.87,0.76,726.0,551.0,19.0,Create,Moderate
968,How does Human Rights affect the global economy or environment?,Social Science,Human Rights,24.72,0.23,2355.0,541.0,11.0,Remember,Hard
969,Critique a major study or paper regarding Viruses.,Biology,Viruses,51.52,0.56,2000.0,1120.0,19.0,Apply,Easy
970,Examine the cross-disciplinary applications of Biodiversity in other fields.,Biology,Biodiversity,45.79,0.43,2708.0,1164.0,3.0,Evaluate,Hard
971,How does Trigonometry affect the global economy or environment?,Mathematics,Trigonometry,99.33,0.96,1859.0,1784.0,15.0,Create,Medium
972,Solve a comprehensive problem involving the core principles of Groundwater depletion.,Geography,Groundwater depletion,12.85,0.15,2836.0,425.0,17.0,Create,Hard
973,Compare and contrast the primary theories of Elasticity.,Physics,Elasticity,61.35,0.6,1355.0,813.0,3.0,Remember,Hard
974,Solve a comprehensive problem involving the core principles of Mendelian genetics.,Biology,Mendelian genetics,38.27,0.38,2217.0,842.0,20.0,Analyze,Moderate
975,Draft a detailed overview of the mathematical foundations of Total internal reflection.,Physics,Total internal reflection,21.17,0.23,597.0,137.0,2.0,Create,Hard
976,What are the most common misconceptions about Linear motion?,Physics,Linear motion,36.07,0.37,2658.0,983.0,6.0,Evaluate,Easy
977,Summarize the key experimental findings related to Population Distribution.,Geography,Population Distribution,20.76,0.22,678.0,149.0,19.0,Evaluate,Moderate
978,Predict the future trends of Fungi over the next decade.,Biology,Fungi,60.75,0.6,2715.0,1629.0,8.0,Evaluate,Hard
979,Examine the cross-disciplinary applications of Statistics in other fields.,Maths,Statistics,19.48,0.17,1160.0,197.0,9.0,Remember,Medium
980,What are the most common misconceptions about Social Change? - Perspective 798,Social Science,Social Change,37.62,0.41,2055.0,842.0,5.0,Create,Hard
981,Analyze the relationship between Civics and the wider Social Science field.,Social Science,Civics,86.62,0.89,2858.0,2543.0,14.0,Remember,Easy
982,Evaluate the impact of Health and Diseases on society today.,Science,Health and Diseases,50.9,0.5,2247.0,1123.0,6.0,Understand,Hard
983,Examine the cross-disciplinary applications of Oceanography in other fields. - Perspective 413,Geography,Oceanography,17.99,0.14,350.0,49.0,2.0,Remember,Easy
984,Compare and contrast the primary theories of Exchange Rates.,Economics,Exchange Rates,48.46,0.53,2802.0,1485.0,7.0,Analyze,Hard
985,Predict the future trends of Public Debt over the next decade.,Economics,Public Debt,47.78,0.48,1201.0,576.0,19.0,Create,Medium
986,What is the significance of Heap Data Structure in modern Computer Science research?,Computer Science,Heap Data Structure,26.5,0.22,727.0,159.0,9.0,Evaluate,Easy
987,Evaluate the impact of Knot theory on society today.,Mathematics,Knot theory,15.92,0.18,1539.0,277.0,3.0,Analyze,Easy
988,Compare and contrast the primary theories of Le Chatelier's principle.,Chemistry,Le Chatelier's principle,76.53,0.72,2432.0,1751.0,8.0,Understand,Easy
989,What is the significance of Knot theory in modern Mathematics research?,Mathematics,Knot theory,71.04,0.68,1000.0,680.0,17.0,Create,Moderate
990,How does Interference affect the global economy or environment?,Physics,Interference,91.91,0.87,1718.0,1494.0,10.0,Evaluate,Medium
991,Describe a real-world application of Ancient Egypt in industry or daily life.,History,Ancient Egypt,44.53,0.44,2194.0,965.0,13.0,Create,Moderate
992,Propose a solution to a common challenge in Public Policy.,Social Science,Public Policy,16.7,0.21,1751.0,367.0,9.0,Remember,Medium
993,Describe a real-world application of Energy Sources in industry or daily life. - Perspective 839,Science,Energy Sources,61.35,0.61,302.0,184.0,15.0,Analyze,Medium
994,Summarize the key experimental findings related to Heisenberg uncertainty principle.,Chemistry,Heisenberg uncertainty principle,68.85,0.68,2048.0,1392.0,3.0,Analyze,Medium
995,Identify the three most critical components of Social Welfare. - Perspective 688,Social Science,Social Welfare,90.3,0.95,1335.0,1268.0,6.0,Analyze,Hard
996,Outline the historical development of Number Systems concepts.,Maths,Number Systems,91.85,0.87,437.0,380.0,12.0,Remember,Medium
997,How has the understanding of Constitutional Law evolved since the 20th century?,Social Science,Constitutional Law,63.78,0.66,1442.0,951.0,14.0,Remember,Easy
998,What is the significance of General Biology in modern Science research? - Perspective 928,Science,General Biology,37.14,0.36,385.0,138.0,2.0,Evaluate,Easy
999,How has the understanding of Algebra evolved since the 20th century?,Mathematics,Algebra,91.33,0.88,1059.0,931.0,5.0,Apply,Medium
1000,Discuss the ethical challenges associated with Rotational motion.,Physics,Rotational motion,25.51,0.26,598.0,155.0,19.0,Evaluate,Medium
1001,What role does Web Development play in the advancement of Computer Science technology?,Computer Science,Web Development,46.2,0.46,2865.0,1317.0,20.0,Create,Easy
1002,How does Real analysis affect the global economy or environment?,Mathematics,Real analysis,55.28,0.51,1924.0,981.0,4.0,Understand,Easy
1003,What role does Financial Crisis play in the advancement of Economics technology?,Economics,Financial Crisis,52.9,0.5,1776.0,888.0,5.0,Understand,Medium
1004,Discuss the ethical challenges associated with Trigonometry. - Perspective 688,Maths,Trigonometry,86.87,0.85,1018.0,865.0,7.0,Remember,Hard
1005,How has the understanding of Himalayas evolved since the 20th century?,Geography,Himalayas,27.9,0.29,2730.0,791.0,15.0,Create,Hard
1006,Describe a real-world application of Poverty in industry or daily life.,Economics,Poverty,48.49,0.48,1154.0,553.0,2.0,Analyze,Moderate
1007,Draft a detailed overview of the mathematical foundations of Ottoman Empire.,History,Ottoman Empire,32.73,0.29,2073.0,601.0,14.0,Evaluate,Moderate
1008,Explain the step-by-step mechanism of Modal Verbs. - Perspective 316,English,Modal Verbs,100.0,0.96,476.0,456.0,8.0,Remember,Moderate
1009,Analyze the relationship between Social Institutions and the wider Social Science field.,Social Science,Social Institutions,33.49,0.34,231.0,78.0,1.0,Evaluate,Moderate
1010,Compare and contrast the primary theories of Ecology.,Science,Ecology,56.8,0.55,314.0,172.0,4.0,Evaluate,Medium
1011,Propose a solution to a common challenge in General Chemistry. - Perspective 548,Science,General Chemistry,62.14,0.58,720.0,417.0,11.0,Evaluate,Medium
1012,How has the understanding of Robotic Systems evolved since the 20th century?,Computer Science,Robotic Systems,32.28,0.32,2827.0,904.0,10.0,Apply,Hard
1013,How does Agriculture affect the global economy or environment?,Geography,Agriculture,11.77,0.14,1669.0,233.0,2.0,Analyze,Medium
1014,How does Speed of light affect the global economy or environment?,Physics,Speed of light,15.31,0.2,582.0,116.0,5.0,Understand,Moderate
1015,Compare and contrast the primary theories of Trigonometry.,Maths,Trigonometry,80.73,0.83,2615.0,2170.0,3.0,Remember,Hard
1016,Analyze the relationship between Calculus and the wider Maths field.,Maths,Calculus,36.17,0.41,66.0,27.0,8.0,Evaluate,Moderate
1017,Examine the cross-disciplinary applications of Russian Revolution in other fields.,History,Russian Revolution,49.47,0.53,1613.0,854.0,19.0,Apply,Moderate
1018,Analyze the relationship between Biotechnology and the wider Biology field.,Biology,Biotechnology,18.14,0.22,2504.0,550.0,8.0,Apply,Hard
1019,Solve a comprehensive problem involving the core principles of Space Exploration. - Perspective 958,Science,Space Exploration,44.43,0.49,264.0,129.0,15.0,Remember,Moderate
1020,Compare and contrast the primary theories of Evolution.,Biology,Evolution,23.47,0.25,92.0,23.0,6.0,Apply,Easy
1021,Analyze the relationship between Machine Learning and the wider Computer Science field. - Perspective 551,Computer Science,Machine Learning,50.85,0.51,2284.0,1164.0,17.0,Analyze,Hard
1022,Propose a solution to a common challenge in Public Policy. - Perspective 402,Social Science,Public Policy,35.95,0.39,2531.0,987.0,10.0,Apply,Hard
1023,Compare and contrast the primary theories of Stoichiometry.,Chemistry,Stoichiometry,82.1,0.81,2608.0,2112.0,11.0,Create,Moderate
1024,Examine the cross-disciplinary applications of Snell's law in other fields.,Physics,Snell's law,23.64,0.2,663.0,132.0,18.0,Evaluate,Hard
1025,How does Determiners affect the global economy or environment?,English,Determiners,53.54,0.58,204.0,118.0,14.0,Evaluate,Moderate
1026,Propose a solution to a common challenge in Age of Discovery.,History,Age of Discovery,35.87,0.4,1456.0,582.0,11.0,Remember,Easy
1027,Solve a comprehensive problem involving the core principles of Molar mass. - Perspective 652,Chemistry,Molar mass,66.18,0.71,2063.0,1464.0,17.0,Create,Medium
1028,Critique a major study or paper regarding Data Mining.,Computer Science,Data Mining,53.99,0.51,1398.0,712.0,6.0,Remember,Easy
1029,Evaluate the impact of Algebra on society today.,Maths,Algebra,91.07,0.91,284.0,258.0,20.0,Analyze,Hard
1030,What role does Nutrient cycling play in the advancement of Biology technology? - Perspective 971,Biology,Nutrient cycling,33.87,0.32,253.0,80.0,12.0,Remember,Moderate
1031,Solve a comprehensive problem involving the core principles of Hess's law.,Chemistry,Hess's law,18.63,0.17,1234.0,209.0,13.0,Apply,Hard
1032,Discuss the ethical challenges associated with Social Change.,Social Science,Social Change,58.82,0.6,2238.0,1342.0,15.0,Apply,Easy
1033,Discuss the ethical challenges associated with General Physics.,Science,General Physics,74.42,0.71,968.0,687.0,10.0,Create,Hard
1034,Explain the step-by-step mechanism of Landforms.,Geography,Landforms,99.37,0.95,741.0,703.0,15.0,Remember,Hard
1035,Describe a real-world application of Globalization history in industry or daily life.,History,Globalization history,36.89,0.34,1658.0,563.0,1.0,Analyze,Moderate
1036,Critique a major study or paper regarding Public Debt. - Perspective 164,Economics,Public Debt,11.81,0.16,607.0,97.0,16.0,Apply,Hard
1037,Identify the three most critical components of Earth's layers.,Geography,Earth's layers,9.38,0.13,806.0,104.0,6.0,Apply,Moderate
1038,Evaluate the impact of Kinematics on society today.,Physics,Kinematics,20.04,0.2,708.0,141.0,7.0,Understand,Medium
1039,Compare and contrast the primary theories of Ecology. - Perspective 169,Science,Ecology,38.35,0.42,664.0,278.0,11.0,Create,Moderate
1040,How does Speciation affect the global economy or environment?,Biology,Speciation,91.58,0.87,2402.0,2089.0,20.0,Apply,Hard
1041,How has the understanding of Set theory evolved since the 20th century?,Mathematics,Set theory,69.6,0.69,436.0,300.0,14.0,Evaluate,Medium
1042,Examine the cross-disciplinary applications of Bohr's model in other fields.,Chemistry,Bohr's model,71.38,0.71,2211.0,1569.0,10.0,Apply,Hard
1043,What is the significance of Wave types in modern Physics research?,Physics,Wave types,12.64,0.12,1683.0,201.0,3.0,Analyze,Moderate
1044,Discuss the ethical challenges associated with Adverbs.,English,Adverbs,40.61,0.44,170.0,74.0,15.0,Create,Easy
1045,Draft a detailed overview of the mathematical foundations of Microeconomics.,Economics,Microeconomics,54.01,0.59,711.0,419.0,5.0,Remember,Medium
1046,How does Vocabulary affect the global economy or environment? - Perspective 275,English,Vocabulary,41.34,0.4,299.0,119.0,19.0,Understand,Hard
1047,What role does Data Representation play in the advancement of Computer Science technology?,Computer Science,Data Representation,82.16,0.86,469.0,403.0,7.0,Understand,Moderate
1048,Compare and contrast the primary theories of Cybersecurity.,Computer Science,Cybersecurity,45.87,0.46,2243.0,1031.0,20.0,Analyze,Moderate
1049,Propose a solution to a common challenge in Number Systems. - Perspective 259,Maths,Number Systems,80.8,0.82,1820.0,1492.0,18.0,Evaluate,Easy
1050,What role does Population Distribution play in the advancement of Geography technology?,Geography,Population Distribution,67.91,0.67,2274.0,1523.0,2.0,Remember,Easy
1051,Describe a real-world application of Cryptocurrency in industry or daily life.,Economics,Cryptocurrency,23.21,0.2,1062.0,212.0,6.0,Analyze,Easy
1052,Solve a comprehensive problem involving the core principles of Volcanoes.,Geography,Volcanoes,46.15,0.44,1952.0,858.0,20.0,Analyze,Easy
1053,Identify the three most critical components of Cyclones.,Geography,Cyclones,94.72,0.96,1188.0,1140.0,6.0,Analyze,Hard
1054,How does First law of thermodynamics affect the global economy or environment?,Chemistry,First law of thermodynamics,88.93,0.89,110.0,97.0,1.0,Evaluate,Moderate
1055,Compare and contrast the primary theories of Hybridization.,Chemistry,Hybridization,75.56,0.77,2365.0,1821.0,14.0,Apply,Moderate
1056,Analyze the relationship between Statistics and the wider Maths field. - Perspective 874,Maths,Statistics,66.82,0.66,893.0,589.0,3.0,Create,Medium
1057,What is the significance of Public Policy in modern Social Science research?,Social Science,Public Policy,11.64,0.1,1720.0,172.0,6.0,Apply,Easy
1058,Propose a solution to a common challenge in Behavioral Economics.,Economics,Behavioral Economics,30.61,0.29,1384.0,401.0,14.0,Create,Easy
1059,Draft a detailed overview of the mathematical foundations of Statistics. - Perspective 936,Mathematics,Statistics,75.57,0.79,2436.0,1924.0,6.0,Analyze,Moderate
1060,Analyze the relationship between Environment and the wider Science field.,Science,Environment,49.04,0.47,2948.0,1385.0,1.0,Understand,Moderate
1061,Summarize the key experimental findings related to Software Engineering.,Computer Science,Software Engineering,59.37,0.58,2878.0,1669.0,19.0,Evaluate,Medium
1062,Critique a major study or paper regarding Data Representation.,Computer Science,Data Representation,91.79,0.92,2170.0,1996.0,17.0,Create,Moderate
1063,Examine the cross-disciplinary applications of Biodiversity in other fields. - Perspective 474,Biology,Biodiversity,61.31,0.66,2533.0,1671.0,7.0,Understand,Moderate
1064,Outline the historical development of Social Movements concepts. - Perspective 651,Social Science,Social Movements,66.48,0.64,502.0,321.0,17.0,Remember,Hard
1065,Describe a real-world application of Mapping and GIS in industry or daily life.,Geography,Mapping and GIS,77.18,0.76,2456.0,1866.0,19.0,Analyze,Medium
1066,Discuss the ethical challenges associated with Energy Sources.,Science,Energy Sources,31.13,0.36,2152.0,774.0,17.0,Understand,Moderate
1067,What role does Health and Diseases play in the advancement of Science technology?,Science,Health and Diseases,62.28,0.63,1095.0,689.0,14.0,Create,Easy
1068,Explain the step-by-step mechanism of Stoichiometry.,Chemistry,Stoichiometry,76.5,0.79,2141.0,1691.0,10.0,Apply,Medium
1069,Analyze the relationship between Constitutional Law and the wider Social Science field.,Social Science,Constitutional Law,33.46,0.32,1676.0,536.0,9.0,Remember,Medium
1070,Explain the step-by-step mechanism of Prepositions.,English,Prepositions,85.33,0.82,882.0,723.0,18.0,Analyze,Hard
1071,Draft a detailed overview of the mathematical foundations of Anthropology.,Social Science,Anthropology,94.15,0.98,227.0,222.0,19.0,Analyze,Moderate
1072,Examine the cross-disciplinary applications of Anthropology in other fields.,Social Science,Anthropology,61.76,0.66,2712.0,1789.0,19.0,Remember,Moderate
1073,What are the most common misconceptions about French Revolution?,History,French Revolution,99.62,0.97,1349.0,1308.0,14.0,Understand,Hard
1074,Predict the future trends of Environment over the next decade.,Science,Environment,41.31,0.41,2274.0,932.0,6.0,Apply,Medium
1075,Discuss the ethical challenges associated with General Chemistry.,Science,General Chemistry,29.18,0.26,2907.0,755.0,7.0,Understand,Easy
1076,Explain the step-by-step mechanism of Real analysis.,Mathematics,Real analysis,52.18,0.48,1858.0,891.0,1.0,Remember,Hard
1077,Discuss the ethical challenges associated with Logarithms.,Mathematics,Logarithms,14.13,0.13,1338.0,173.0,2.0,Understand,Easy
1078,Summarize the key experimental findings related to Space Exploration.,Science,Space Exploration,79.52,0.81,1037.0,839.0,13.0,Create,Medium
1079,Critique a major study or paper regarding Monetary Policy.,Economics,Monetary Policy,76.04,0.72,206.0,148.0,5.0,Evaluate,Moderate
1080,Explain the step-by-step mechanism of Calculus. - Perspective 539,Maths,Calculus,66.49,0.65,1126.0,731.0,10.0,Analyze,Moderate
1081,Identify the three most critical components of Age of Discovery.,History,Age of Discovery,42.82,0.46,1415.0,650.0,5.0,Create,Medium
1082,What are the most common misconceptions about Conditionals?,English,Conditionals,16.23,0.2,431.0,86.0,11.0,Evaluate,Easy
1083,Describe a real-world application of Natural Vegetation in industry or daily life.,Geography,Natural Vegetation,76.86,0.74,1146.0,848.0,2.0,Evaluate,Medium
1084,How does Biodiversity affect the global economy or environment?,Biology,Biodiversity,37.79,0.34,302.0,102.0,3.0,Remember,Easy
1085,Outline the historical development of Political Science concepts.,Social Science,Political Science,16.58,0.2,1765.0,353.0,16.0,Analyze,Easy
1086,What is the significance of Financial Crisis in modern Economics research?,Economics,Financial Crisis,53.94,0.57,719.0,409.0,6.0,Remember,Easy
1087,How has the understanding of Independence movements evolved since the 20th century?,History,Independence movements,96.84,0.96,2819.0,2706.0,18.0,Understand,Moderate
1088,Summarize the key experimental findings related to Rocket car physics.,Physics,Rocket car physics,77.14,0.79,330.0,260.0,11.0,Understand,Easy
1089,Outline the historical development of Social Change concepts. - Perspective 134,Social Science,Social Change,21.56,0.17,1590.0,270.0,15.0,Remember,Medium
1090,Describe a real-world application of Russian Revolution in industry or daily life.,History,Russian Revolution,98.39,0.94,1828.0,1718.0,11.0,Apply,Moderate
1091,Summarize the key experimental findings related to Cultural Studies.,Social Science,Cultural Studies,30.24,0.33,444.0,146.0,14.0,Understand,Hard
1092,Evaluate the impact of Punctuation on society today.,English,Punctuation,96.51,0.95,91.0,86.0,5.0,Understand,Medium
1093,Evaluate the impact of Industrial Revolution on society today.,History,Industrial Revolution,73.39,0.78,2854.0,2226.0,19.0,Analyze,Medium
1094,Examine the cross-disciplinary applications of Coordination Compounds in other fields.,Chemistry,Coordination Compounds,93.22,0.91,2289.0,2082.0,11.0,Apply,Medium
1095,Evaluate the impact of World War I on society today.,History,World War I,46.92,0.48,2925.0,1404.0,18.0,Evaluate,Moderate
1096,Outline the historical development of Conditionals concepts.,English,Conditionals,52.27,0.54,2088.0,1127.0,10.0,Analyze,Moderate
1097,What is the significance of Magna Carta in modern History research?,History,Magna Carta,28.18,0.28,2065.0,578.0,3.0,Evaluate,Moderate
1098,Evaluate the impact of Universe and Solar System on society today.,Geography,Universe and Solar System,35.21,0.32,2268.0,725.0,20.0,Remember,Moderate
1099,What is the significance of Inflation in modern Economics research? - Perspective 488,Economics,Inflation,27.85,0.23,629.0,144.0,6.0,Understand,Hard
1100,Draft a detailed overview of the mathematical foundations of Constitutional Law.,Social Science,Constitutional Law,14.31,0.1,1551.0,155.0,19.0,Create,Moderate
1101,What are the most common misconceptions about Biofertilizers?,Biology,Biofertilizers,66.11,0.67,1411.0,945.0,17.0,Apply,Hard
1102,Explain the step-by-step mechanism of Heisenberg uncertainty principle. - Perspective 666,Chemistry,Heisenberg uncertainty principle,88.53,0.84,1090.0,915.0,10.0,Understand,Hard
1103,Summarize the key experimental findings related to Cold War.,History,Cold War,35.24,0.32,830.0,265.0,5.0,Remember,Hard
1104,What role does Human Geography play in the advancement of Geography technology?,Geography,Human Geography,90.21,0.93,1207.0,1122.0,5.0,Create,Medium
1105,Solve a comprehensive problem involving the core principles of Urbanization.,Geography,Urbanization,86.91,0.91,318.0,289.0,11.0,Evaluate,Hard
1106,Evaluate the impact of Space Exploration on society today. - Perspective 792,Science,Space Exploration,84.07,0.88,817.0,718.0,2.0,Analyze,Hard
1107,What role does Hybridization play in the advancement of Chemistry technology?,Chemistry,Hybridization,17.55,0.13,2665.0,346.0,12.0,Analyze,Easy
1108,Propose a solution to a common challenge in Permutations.,Mathematics,Permutations,74.17,0.78,961.0,749.0,2.0,Create,Hard
1109,What are the most common misconceptions about Le Chatelier's principle?,Chemistry,Le Chatelier's principle,36.41,0.32,504.0,161.0,10.0,Evaluate,Medium
1110,Critique a major study or paper regarding Urban Planning.,Social Science,Urban Planning,63.39,0.6,2532.0,1519.0,10.0,Evaluate,Hard
1111,Discuss the ethical challenges associated with Complex analysis.,Mathematics,Complex analysis,97.12,0.93,1357.0,1262.0,6.0,Remember,Medium
1112,Examine the cross-disciplinary applications of Total internal reflection in other fields.,Physics,Total internal reflection,51.74,0.53,2375.0,1258.0,5.0,Understand,Medium
1113,How has the understanding of Interference evolved since the 20th century?,Physics,Interference,51.82,0.48,2887.0,1385.0,3.0,Evaluate,Easy
1114,Evaluate the impact of Taxation on society today.,Economics,Taxation,68.22,0.69,2889.0,1993.0,11.0,Evaluate,Medium
1115,Propose a solution to a common challenge in Behavioral Economics. - Perspective 338,Economics,Behavioral Economics,59.5,0.63,2009.0,1265.0,2.0,Understand,Hard
1116,Draft a detailed overview of the mathematical foundations of Social Movements.,Social Science,Social Movements,36.42,0.36,2053.0,739.0,1.0,Apply,Hard
1117,What role does Behavioral Economics play in the advancement of Economics technology?,Economics,Behavioral Economics,93.82,0.9,1969.0,1772.0,15.0,Analyze,Easy
1118,What are the most common misconceptions about Ottoman Empire?,History,Ottoman Empire,71.33,0.75,687.0,515.0,5.0,Apply,Easy
1119,Discuss the ethical challenges associated with Trigonometry. - Perspective 822,Maths,Trigonometry,74.05,0.77,789.0,607.0,7.0,Apply,Easy
1120,Discuss the ethical challenges associated with Diffraction.,Physics,Diffraction,74.67,0.79,2711.0,2141.0,5.0,Understand,Easy
1121,Identify the three most critical components of Radioactivity.,Physics,Radioactivity,27.41,0.31,3000.0,930.0,6.0,Understand,Easy
1122,Identify the three most critical components of Middle Ages.,History,Middle Ages,66.94,0.67,1711.0,1146.0,3.0,Understand,Hard
1123,Describe a real-world application of Shakespearean plays in industry or daily life.,English,Shakespearean plays,54.26,0.55,1188.0,653.0,10.0,Analyze,Hard
1124,What role does Number Systems play in the advancement of Maths technology? - Perspective 179,Maths,Number Systems,44.92,0.43,1072.0,460.0,3.0,Create,Easy
